Case_Type,Case_Num,State_Case_Num,Rec_Local_Office,Rec_State_Office,Rec_Regional_Office,Last_Sig_Event,Last_Event_Date,Region_ID,Work_State,Occ_Code,Occ_Title,Num_Aliens,Salary,Unit_of_Pay,Prevail_Wage,Unit_of_Pay_Prev,Emp_Name,Emp_City,Emp_State,Contact_Last,Contact_First,Att_Firm_Name,Att_Last,Att_First,Att_City,Att_State
"TEMP","09483451","56064","08/28/00 00:00:00","08/28/00 00:00:00","09/28/00 00:00:00","Certified, Temporary","10/02/00 00:00:00",9,"CA","353.167-010","Guide, Travel",8,3.9919999999999999e+02,"W",2.9519999999999999e+02,"W","CROSSROADS ADVENTURES USA INC.","LOS ANGELES","CA","GOTTOFREY","DIDIER","PAMELA MCLEAN","MCLEAN","PAMELA","POLLOCK PINES","CA"
"TEMP","06323418","8986-01","07/17/00 00:00:00","09/13/00 00:00:00","09/15/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",6,"AR","452.687-018","Tree Planter",540,7.7400000000000002e+00,"H",7.7400000000000002e+00,"H","ELLER & SONS TREES, INC.","FRANKLIN","GA","OXENTENKO","RONALD",,,,,
"TEMP","06323419","8985-01","07/20/00 00:00:00","09/13/00 00:00:00","09/15/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",6,"AR","452.687-010","Forest Worker",450,7.3600000000000003e+00,"H",7.3600000000000003e+00,"H","PROGRESSIVE FORESTRY SERVICES, INC","COEUR D'ALENE","ID","CRESPO","JUAN","NORTH AMERICAN LABOR MANAGEMENT, INC.","FORRESTER","TERRY","POST FALLS","ID"
"TEMP","06323417","8988-01","07/17/00 00:00:00","09/13/00 00:00:00","09/15/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",6,"AR","452.687-018","Tree Planter",50,8.4600000000000009e+00,"H",8.4600000000000009e+00,"H","GROWING QUALITY FORESTRY","HERMITAGE","AR","ZENDEJAS","JOSE",,,,,
"TEMP","06323416","8981-01","07/07/00 00:00:00","09/13/00 00:00:00","09/15/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",6,"AR","452.687-018","Tree Planter",200,8.0399999999999991e+00,"H",8.0399999999999991e+00,"H","J & S FORESTRY SERVICE","FOLEY","AL","HARRISON","TESS","TESS HARRISON","HARRISON","TESS","FOLEY","AL"
"TEMP","06322389","ACLA0700-036-01","07/26/00 00:00:00","08/28/00 00:00:00","08/31/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",6,"LA","452.687-010","Forest Worker",100,7.9500000000000002e+00,"H",7.9500000000000002e+00,"H","ALL REGIONS FORESTRY,INC.","BOSSIER CITY","LA","TUNEK","LORENZO",,,,,
"TEMP","09483661","54993","08/08/00 00:00:00","08/08/00 00:00:00","10/02/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",9,"CA","410.674-022","Stable Attendant",12,4.8000000000000000e+02,"W",3.6960000000000002e+02,"W","THOMAS J. BARRACK JR./BARRACK RANCH","LAGUNA NIGUEL","CA","BARRACK","THOMAS","MARTIN JOSEPH ARBURUA.ATTORNEY AT LAW","GALLIATH","LISA","SOLANA BEACH","CA"
"TEMP","09483659","54982","08/08/00 00:00:00","08/08/00 00:00:00","10/02/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",9,"CA","410.674-022","Stable Attendant",75,4.8000000000000000e+02,"W",1.4784000000000000e+04,"A","UNITED STATES POLO ASSN., PACIFIC COAST CIRCUIT","LAGUNA NIGUEL","CA","RICHARDSON","MADISON","MARTIN JOSEPH ARBURUA.ATTORNEY AT LAW","GALLIATH","LISA","SOLANA BEACH","CA"
"TEMP","09483660","54992","08/08/00 00:00:00","08/08/00 00:00:00","10/02/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",9,"CA","410.674-022","Stable Attendant",11,4.8000000000000000e+02,"W",3.6960000000000002e+02,"W","POLO ADVENTURES","LAGUNA NIGUEL","CA","GOTTENDORFER","SUZANNE","MARTIN JOSEPH ARBURUA.ATTORNEY AT LAW","GALLIATH","LISA","SOLANA BEACH","CA"
"TEMP","10237131","698","07/31/00 00:00:00","07/31/00 00:00:00","09/18/00 00:00:00","Certified, Temporary","10/03/00 00:00:00",10,"ID","311.677-018","Dining Room Attendant",50,6.0000000000000000e+00,"H",5.5800000000000001e+00,"H","Sun Valley Company","Sun Valley","ID","Ellison","Norma",,,,,
