Case_Type,Case_Num,State_Case_Num,Rec_Local_Office,Rec_State_Office,Rec_Regional_Office,Last_Sig_Event,Last_Event_Date,Region_ID,Work_State,Occ_Code,Occ_Title,Num_Aliens,Salary,Unit_of_Pay,Prevail_Wage,Unit_of_Pay_Prev,Emp_Name,Emp_City,Emp_State,Contact_Last,Contact_First,Att_Firm_Name,Att_Last,Att_First,Att_City,Att_State
"TEMP","05414065","223032","08/27/02 00:00:00","08/27/02 00:00:00","09/30/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",5,"MI","317.687-010","Cook Helper",7,6.3499999999999996e+00,"H",6.3499999999999996e+00,"H","Hoppie's Tavern - Burt Lake","Cheboygan","MI","Griffin","Joe","Timothy O'Leary, Attorney at Law","O'Leary","Timothy","Washington","DC"
"TEMP","05412685","222538SDS","07/17/02 00:00:00","07/17/02 00:00:00","08/20/02 00:00:00","Denied, Temporary","10/01/02 00:00:00",5,"MI","099.327-010","Teacher Aide I",1,1.9000000000000000e+04,"A",1.3500000000000000e+04,"A","Detroit Waldorf School","Detroit","MI","Liorhardi","Mary","Birach","Birach","Robert","Detroit","MI"
"TEMP","05414066","222023","05/01/02 00:00:00","05/01/02 00:00:00","09/30/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",5,"MI","153.227-018","Instructor, Sports",1,3.1000000000000000e+04,"A",3.2593599999999999e+04,"A","Magic Soccer","Rochester Hills","MI","Margetic","Patricio",,,,,
"TEMP","05413829","2-0163","12/07/01 00:00:00","12/07/01 00:00:00","08/30/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",5,"MN","313.361-030","Cook, Specialty, Foreign Food",1,1.7430000000000000e+01,"H",1.6640000000000001e+01,"H","India Palace","Duluth","MN","Lakhane","Koresh","Law Office of Schachter & Associtates, P.C.","Goli","Satish","Jackson Heights","NY"
"TEMP","05413778","C104618","08/08/02 00:00:00","08/08/02 00:00:00","09/23/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",5,"WI","821.361-018","Line Erector",4,2.7520000000000000e+01,"H",,"A","Michels Corporation","Brownsville","WI","Johnson","Brian","Construction Workers, Inc.","Aquiline","Matthew","Washington","DC"
"TEMP","05413155","V-IL33529","05/18/01 00:00:00","05/18/01 00:00:00","09/11/02 00:00:00","Denied, Temporary","10/01/02 00:00:00",5,"IL","600.280-022","Machinist",6,1.7270000000000000e+01,"H",1.7370000000000001e+01,"H","R.A. Zweig, Inc.","Glenview","IL","Zweig","Arie","Attorney-At-Law","Buchcar","Christopher","Chicago","IL"
"TEMP","05412957","10672","06/03/02 00:00:00","06/03/02 00:00:00","09/09/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",5,"OH","381.687-014","Cleaner, Commercial Or Institutional",1,7.0000000000000000e+00,"H",6.8300000000000001e+00,"H","Imbus Enterprises, LP dba Fairfield Storage","Fairfield","OH","Imbus","Chris","Law Firm of Marilyn Zayas-Davis","Zayas-Davis","Marily","Cincinnati","OH"
"TEMP","05414068","2-0627","07/05/02 00:00:00","07/05/02 00:00:00","09/30/02 00:00:00","Denied, Temporary","10/01/02 00:00:00",5,"MN","099.227-010","Children's Tutor",1,4.0000000000000000e+02,"W",3.6700000000000000e+02,"W","Not Available","Maple Grove","MN","Not Available","Not Available",,,,,
"TEMP","09529770","160183","08/28/02 00:00:00","08/28/02 00:00:00","09/25/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",9,"CA","999.272-042","Musicians and Singers",11,6.6250000000000000e+01,"H",4.3000000000000000e+01,"H","V-G PROMOTIONS","WHITTIER","CA","VALDEZ","RAFAEL","J.J. FELIX","FELIX","J.J.","SANTA FE SPRINGS","CA"
"TEMP","09529688","160659","09/05/02 00:00:00","09/05/02 00:00:00","09/24/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",9,"CA","999.272-042","Musicians and Singers",17,6.6250000000000000e+01,"H",4.3000000000000000e+01,"H","SAMA'S PROMOTIONS","NORTH HILLS","CA","GARCIA","JOSE","J.J. FELIX","FELIX","J.J.","SANTA FE SPRINGS","CA"
"TEMP","01325001",,"08/12/02 00:00:00","08/12/02 00:00:00","09/27/02 00:00:00","Certified, Temporary","10/01/02 00:00:00",1,"VT","153.227-018","Instructor, Sports",25,9.0000000000000000e+00,"H",8.9399999999999995e+00,"H","Mt. Mansfield Company","Stowe","VT","Zetarski","Jennifer",,,,,
"TEMP","09529771","159921","08/28/02 00:00:00","08/28/02 00:00:00","09/25/02 00:00:00","Certified, Temporary","10/02/02 00:00:00",9,"CA","999.393-091","Amusement and Recreation Attendants",40,7.0000000000000000e+00,"H",7.3099999999999996e+00,"H","BOREAL MOUNTAIN RESORT","TRUCKEE","CA","WICKTROM","PAULA","KATHY NELSON","NELSON","KATHY","BORREGO SPRINGS","CA"
"TEMP","09529577","156529","06/25/02 00:00:00","06/25/02 00:00:00","09/23/02 00:00:00","Certified, Temporary","10/02/02 00:00:00",9,"CA","999.399-031","Fitness Trainers and Aerobics Instructors",7,9.5700000000000003e+00,"H",9.8499999999999996e+00,"H","KIRKWOOD  SKI AND SUMMER RESORT","KIRKWOOD","CA","SULLIVAN","RENA","PAMELA MCLEAN","MC LEAN","PAMELA","POLLOCK PINES","CA"
