Case_Type,Case_Num,State_Case_Num,Rec_Local_Office,Rec_State_Office,Rec_Regional_Office,Last_Sig_Event,Last_Event_Date,Region_ID,Work_State,Occ_Code,Occ_Title,Num_Aliens,Salary,Unit_of_Pay,Prevail_Wage,Unit_of_Pay_Prev,Emp_Name,Emp_City,Emp_State,Contact_Last,Contact_First,Att_Firm_Name,Att_Last,Att_First,Att_City,Att_State
"TEMP","07235340",,"05/29/01 00:00:00","05/29/01 00:00:00","09/20/01 00:00:00","Denied, Temporary","10/01/01 00:00:00",7,"KS","187.117-038","Manager, Hotel Or Motel",1,2.1500000000000000e+04,"A",2.1882000000000000e+04,"A","Noble Hospitality, Inc.","Manhattan","KS","Noble","W.A.","Stinson Morrison Hecker LLP","Hiatt, Esq.","Roger","Kansas City","MO"
"TEMP","07235265",,"07/24/01 00:00:00","07/24/01 00:00:00","07/31/01 00:00:00","Denied, Temporary","10/01/01 00:00:00",7,"MO","904.383-010","Tractor Trailer Truck Driver",115,1.7230000000000000e+01,"H",1.7230000000000000e+01,"H","New Rising Fenix, Inc.","Mt. Vernon","MO","Strong","Clifford","Froman & Wagner, LLP","Froman","David","San Diego","CA"
"TEMP","09504722","134023","08/21/01 00:00:00","08/21/01 00:00:00","09/27/01 00:00:00","Certified, Temporary","10/01/01 00:00:00",9,"CA",,,5,8.7500000000000000e+00,"H",8.8100000000000005e+00,"H","KIRKWOOD ASSOCIATES, INC.","KIRKWOOD","CA","BECKWITH","MICHELLE","PAMELA MCLEAN","MCLEAN","PAMELA","POLLOCK PINES","CA"
"TEMP","09504726","107305","07/02/01 00:00:00","07/02/01 00:00:00","09/27/01 00:00:00","Denied, Temporary","10/01/01 00:00:00",9,"CA",,,1,7.0000000000000000e+02,"W",6.8679999999999995e+02,"W","BENJAMIN D.A. CECIL C/O CALIFORNIA THOROUGHBRED","ARCADIA","CA","CECIL","BEN","MARK H. BOYKIN, ESQ.","BOYKIN","MARK","WOODLAND HILLS","CA"
"TEMP","03364108",,"06/12/01 00:00:00","06/12/01 00:00:00","09/24/01 00:00:00","Certified, Temporary","10/01/01 00:00:00",3,"PA","309.367-010","House Sitter",1,8.7200000000000006e+00,"H",9.1699999999999999e+00,"H","Not Available","NEWTOWN SQUARE","PA","Not Available","Not Available","FOX ROTHBOHILD 0'BRIEN & FRANKEL","DEGEN","ROBERT","PHILADELPHIA","PA"
"TEMP","04380567",,"08/15/01 00:00:00","08/15/01 00:00:00","09/28/01 00:00:00","Certified, Temporary","10/01/01 00:00:00",4,"MS","452.687-018","Tree Planter",40,8.2300000000000004e+00,"H",7.9000000000000004e+00,"H","BARRETO FORESTRY CONTRACTING, INC.","GLOSTER","MS","BARRETO","DANIEL","BARRY J. WALKER","WALKER","BARRY","TUPELO","MS"
"TEMP","04380527",,"07/02/01 00:00:00","07/02/01 00:00:00","09/27/01 00:00:00","Denied, Temporary","10/01/01 00:00:00",4,"KY","410.674-022","Stable Attendant",5,3.5000000000000000e+02,"W",3.6842000000000002e+02,"W","CHRIS SPECKERT RACING","LEXINGTON","KY","SPECKERT","CHRISTOPHER","BACKSIDE CONNECTIONS","MAZE","SUZE","LEXINGTON","KY"
"TEMP","04378961","99122573","05/30/01 00:00:00","05/30/01 00:00:00","08/15/01 00:00:00","Certified, Temporary","10/01/01 00:00:00",4,"SC","529.687-098","Grader",21,7.0199999999999996e+00,"H",7.3799999999999999e+00,"H","KAGAWA MARINE PRODUCTS, LLC","CHARLESTON","SC","IWASAWA","MITSUTAKA","KENTUCKY TENNESSEE LABOR CORPORATION, INC.","SOWARDS","TISH","LEXINGTON","KY"
"TEMP","03364111",,"07/25/01 00:00:00","07/25/01 00:00:00","09/24/01 00:00:00","Denied, Temporary","10/01/01 00:00:00",3,"VA","301.677-010","Child Monitor",1,1.0000000000000000e+01,"H",9.8100000000000005e+00,"H","Not Available","MCLEAN","VA","Not Available","Not Available","Bedi & Martinez, Esquires","Gentry","Renee","Washington","DC"
"TEMP","04380549","99129472","07/30/01 00:00:00","07/30/01 00:00:00","09/28/01 00:00:00","Certified, Temporary","10/01/01 00:00:00",4,"NC","521.687-122","Shellfish Shucker",29,6.5899999999999999e+00,"H",6.9299999999999997e+00,"H","GREEN'S OYSTER CO., INC.","SHALLOTTE","NC","GREEN","VANGELYN","INTERNATIONAL LABOR MANAGEMENT CORP.","EURY","STAN","VASS","NC"
"TEMP","04380327","19350","07/26/01 00:00:00","07/26/01 00:00:00","09/24/01 00:00:00","Certified, Temporary","10/01/01 00:00:00",4,"FL","521.687-122","Shellfish Shucker",83,5.7500000000000000e+00,"H",5.7500000000000000e+00,"H","PRISTINE INTERNATIONAL SEAFOOD","PANACEA","FL","THOMAS","FRED","MARY JANE YORKE","YORKE","MARY","LAKE PARK","GA"
"TEMP","03363961",,"08/14/01 00:00:00","08/14/01 00:00:00","09/20/01 00:00:00","Denied, Temporary","10/01/01 00:00:00",3,"VA","869.687-026","Construction Worker II",10,8.5000000000000000e+00,"H",8.0600000000000005e+00,"H","Keystone Pipeline Services Inc.","Mechanicsville","VA","DOW","Troy",,,,,
"TEMP","03363960",,"08/14/01 00:00:00","08/14/01 00:00:00","09/20/01 00:00:00","Certified, Temporary","10/01/01 00:00:00",3,"VA","408.687-014","Laborer, Landscape",32,7.5000000000000000e+00,"H",7.3300000000000001e+00,"H","Messer Landscape of Virginia, Inc.","Glen Allen","VA","MESSER","Charles",,,,,
"TEMP","03363959",,"07/31/01 00:00:00","07/31/01 00:00:00","09/20/01 00:00:00","Denied, Temporary","10/01/01 00:00:00",3,"VA","301.677-010","Child Monitor",1,1.0000000000000000e+01,"H",9.8100000000000005e+00,"H","Not Available","Fairfax","VA","Not Available","Not Available",,,,,
"TEMP","06336248","ACLA0601-022-01","06/22/01 00:00:00","09/14/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"LA","313.361-014","Cook",10,8.0399999999999991e+00,"H",8.0399999999999991e+00,"H","Hyatt Regency New Orleans","New Orleans","LA","Dickey","Mike","PRACTICAL EMPLOYEE SOLUTIONS","STRICKLAND","VERONICA","DALLAS","TX"
"TEMP","06336251","ACLA0601-027-01","06/22/01 00:00:00","09/14/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"LA","311.677-018","Dining Room Attendant",10,5.7500000000000000e+00,"H",5.7300000000000004e+00,"H","Hyatt Regency New Orleans","New Orleans","LA","Dickey","Mike","PRACTICAL EMPLOYEE SOLUTIONS","STRICKLAND","VERONICA","DALLAS","TX"
"TEMP","06336249","ACLA0601-023-01","06/22/01 00:00:00","09/14/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"LA","323.687-014","Cleaner, Housekeeping",20,6.7500000000000000e+00,"H",6.1299999999999999e+00,"H","HYATT REGENCY HOTEL NEW ORLEANS","NEW ORLEANS","LA","MARTIN","CATHY","PRACTICAL EMPLOYEE SOLUTIONS","STRICKLAND","VERONICA","DALLAS","TX"
"TEMP","06336247","ACLA0601-025-01","06/22/01 00:00:00","09/14/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"LA","318.687-010","Kitchen Helper",10,6.7500000000000000e+00,"H",5.7500000000000000e+00,"H","Hyatt Regency New Orleans","New Orleans","LA","Dickey","Mike","PRACTICAL EMPLOYEE SOLUTIONS","STRICKLAND","VERONICA","DALLAS","TX"
"TEMP","06336246","ACLA0601-024-01","06/22/01 00:00:00","09/14/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"LA","323.687-018","Housecleaner",10,6.7500000000000000e+00,"H",6.1299999999999999e+00,"H","Hyatt Regency New Orleans","New Orleans","LA","Dickey","Mike","PRACTICAL EMPLOYEE SOLUTIONS","STRICKLAND","VERONICA","DALLAS","TX"
"TEMP","06336245","01-3474","08/27/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"CO","211.462-014","Cashier Checker",30,8.0000000000000000e+00,"H",7.5700000000000003e+00,"H","COPPER MOUNTAIN RESORT","COPPER MOUNTAIN","CO","WING","SARAH",,,,,
"TEMP","06336244","01-2763","07/30/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"CO","323.687-014","Cleaner, Housekeeping",20,8.0000000000000000e+00,"H",7.9699999999999998e+00,"H","COPPER MOUNTAIN RESORT","COPPER MOUNTAIN","CO","WING","SARAH",,,,,
"TEMP","06336243","01-2762","07/30/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"CO","341.665-010","Ski Tow Operator",55,8.0000000000000000e+00,"H",5.7500000000000000e+00,"H","Copper Mountain Resort","Copper Mountain","CO","Wing","Sarah",,,,,
"TEMP","06336242","01-2760","07/30/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"CO","238.367-038","Hotel Clerk",50,9.2699999999999996e+00,"H",9.2699999999999996e+00,"H","Copper Mountain Resort","Copper Mountain","CO","Wing","Sarah",,,,,
"TEMP","06336241","01-2761","07/30/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"CO","317.687-010","Cook Helper",50,8.0000000000000000e+00,"H",7.2900000000000000e+00,"H","Copper Mountain Resort","Copper Mountain","CO","Wing","Sarah",,,,,
"TEMP","06336240","01-2817","08/01/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"CO","955.687-014","Snow Shoveler",6,7.7699999999999996e+00,"H",7.7699999999999996e+00,"H","Palomo's Construction Inc","Denver","CO","Palomo","Florencio","C SCOTT INC","EVANS","C","BAY CITY","TX"
"TEMP","06336238","01-2540","07/17/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"CO","405.687-014","Horticultural Worker II",35,7.7699999999999996e+00,"H",5.7500000000000000e+00,"H","Arapahoe Acres Nursery and Lan","Littleton","CO","Anderson","Wayne","C SCOTT INC","EVANS","C","BAY CITY","TX"
"TEMP","06336237","000000064863","07/03/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"TX","521.687-122","Shellfish Shucker",40,6.5400000000000000e+00,"H",6.5400000000000000e+00,"H","HILLMAN SHRIMP & OYSTER CO.","DICKINSON","TX","TAYLOR","STEVE",,,,,
"TEMP","06336236","000000064907","07/06/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"TX","521.687-122","Shellfish Shucker",50,6.5400000000000000e+00,"H",6.5599999999999996e+00,"H","HILLMAN SHRIMP & OYSTER CO.","DICKINSON","TX","TAYLOR","STEVE",,,,,
"TEMP","06336235","000000069983","07/23/01 00:00:00","09/18/01 00:00:00","09/21/01 00:00:00","Certified, Temporary","10/02/01 00:00:00",6,"TX","408.687-014","Laborer, Landscape",12,5.8600000000000003e+00,"H",5.8600000000000003e+00,"H","COLOR STAR GROWERS INC","GIDDINGS","TX","VERBEEK","HUIBERT","ROBERT D. KERSHAW, ATTORNEY AT LAW","KERSHAW, JR.","ROBERT","AUSTIN","TX"
