Case_Type,Case_Num,State_Case_Num,Rec_Local_Office,Rec_State_Office,Rec_Regional_Office,Last_Sig_Event,Last_Event_Date,Region_ID,Work_State,Occ_Code,Occ_Title,Num_Aliens,Salary,Unit_of_Pay,Prevail_Wage,Unit_of_Pay_Prev,Emp_Name,Emp_City,Emp_State,Contact_Last,Contact_First,Att_Firm_Name,Att_Last,Att_First,Att_City,Att_State
"TEMP","09455254","30374","05/13/99 00:00:00","05/13/99 00:00:00","09/08/99 00:00:00","Denied, Temporary","10/01/99 00:00:00",9,"CA","189.117-030","Project Director",1,1.7000000000000000e+04,"A",3.4548000000000000e+04,"A","CALIFORNIA PUBLIC INTEREST RESEARCH GROUP","LOS ANGELES","CA","FREED","CLAYT",,,,,
"TEMP","08222219",,"08/17/99 00:00:00","08/17/99 00:00:00","09/27/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"CO","361.687-018","Laundry Laborer",2,8.0000000000000000e+00,"H",7.5400000000000000e+00,"H","The Resort Company","Beaver Creek","CO","Porter","Maria",,,,,
"TEMP","08222168",,"07/29/99 00:00:00","07/29/99 00:00:00","09/17/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"CO","311.677-014","Counter Attendant, Cafeteria",2,6.8700000000000001e+00,"H",6.8700000000000001e+00,"H","Crested Butte Mountain Resort, Inc.","Mt. Crested Butte","CO","Gailey","Kimberly",,,,,
"TEMP","08222169",,"07/29/99 00:00:00","07/29/99 00:00:00","09/17/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"CO","341.665-010","Ski Tow Operator",5,6.7000000000000002e+00,"H",5.2900000000000000e+00,"H","Crested Butte Mountain Resort, Inc.","Mt. Crested Butte","CO","Gailey","Kimberly",,,,,
"TEMP","08222170",,"07/29/99 00:00:00","07/29/99 00:00:00","09/17/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"CO","323.687-014","Cleaner, Housekeeping",40,7.7000000000000002e+00,"H",7.7000000000000002e+00,"H","Crested Butte Mountain Resort, Inc.","Mt. Crested Butte","CO","Gailey","Kimberly",,,,,
"TEMP","08222171",,"07/29/99 00:00:00","07/29/99 00:00:00","09/17/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"CO","361.687-018","Laundry Laborer",5,6.5000000000000000e+00,"H",6.4600000000000000e+00,"H","Crested Butte Mountain Resort, Inc.","Mt. Crested Butte","CO","Gailey","Kimberly",,,,,
"TEMP","08222172",,"08/06/99 00:00:00","09/16/99 00:00:00","09/20/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"UT","321.137-010","Housekeeper",5,1.0630000000000001e+01,"H",8.6099999999999994e+00,"H","Prospect Management LLC dba The Lodging Co.","Park City","UT","Gray","Dennis","Littlefield & Peterson","Gardner, Jr.","Arnold","Salt Lake City","UT"
"TEMP","08222173",,"08/06/99 00:00:00","09/16/99 00:00:00","09/20/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"UT","323.687-018","Housecleaner",120,7.0899999999999999e+00,"H",7.4600000000000000e+00,"H","Prospect Management LLC dba The Lodging Co.","Park City","UT","Gray","Dennis","Littlefield & Peterson","Gardner, Jr.","Arnold","Salt Lake City","UT"
"TEMP","08222174",,"08/06/99 00:00:00","09/16/99 00:00:00","09/20/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"UT","238.367-038","Hotel Clerk",40,7.5000000000000000e+00,"H",7.6399999999999997e+00,"H","Prospect Management LLC dba The Lodging Co.","Park City","UT","Gray","Dennis","Littlefield & Peterson","Gardner, Jr.","Arnold","Salt Lake City","UT"
"TEMP","08222175",,"08/06/99 00:00:00","09/16/99 00:00:00","09/20/99 00:00:00","Certified, Temporary","10/04/99 00:00:00",8,"UT","318.687-010","Kitchen Helper",25,7.0400000000000000e+00,"H",7.4100000000000001e+00,"H","Prospect Management LLC dba The Lodging Co.","Park City","UT","Gray","Dennis","Littlefield & Peterson","Gardner, Jr.","Arnold","Salt Lake City","UT"
